Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z,Frame,Filename,Pixels,Shape,Adjusted_Pixels,Adjusted_Length
10481-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12035-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12035-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12035-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12035-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12034-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10486-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10486-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10486-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10486-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10486-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10486-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10486-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10486-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12036-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12036-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9674-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
9673-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9673-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
9673-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9673-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
9673-6102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9673-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",72.0,8.0
12044-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12044-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12044-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12044-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12044-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12044-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12044-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12044-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12028-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12028-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12044-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12044-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12043-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12043-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12043-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12043-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12043-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12043-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9678-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",110.0,10.0
9678-6103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",78.0,8.0
9678-6102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",78.0,8.0
9678-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9678-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9678-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9678-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12043-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12043-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",110.0,10.0
12028-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12028-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12042-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12042-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12042-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12042-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",110.0,10.0
