Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z
10216-3702,0.6325725496486986,207.25485198196068,0.0452326,13560.3923357308,-89.17541752454221,174.99225732242033,66.18178341954709
10216-3703,0.6503889058699175,213.49534802188845,0.046550600000000004,13955.5187953748,-92.21272660905856,180.24032073243438,67.753254243464
10216-3704,0.40565571425663993,129.76020430751313,0.028662300000000005,8592.7413689334,-56.6197564197966,109.98343819331532,39.18618542378984
10216-6101,0.5733206556353255,186.66614286304704,0.0408673,12251.7083188234,-83.24567813886509,158.55671853266497,52.67041836478251
10216-6102,0.6165047238358272,201.64658103559918,0.044046100000000005,13204.6885843138,-86.02046566807685,170.80829014475373,63.9245738931383
10216-6103,0.6456799277545486,211.84369853243268,0.046202,13851.011144516,-89.29397417856825,180.30345556078277,66.29481651032945
10216-6104,0.6680177105476757,219.6929250838188,0.0478572,14347.2276209976,-95.7466008994631,184.4556379396824,71.22982086421494
10216-9101,0.7163975648391564,236.81842098013865,0.0514557,15426.0307811106,-100.67373490340611,200.40487695491828,76.06345317436582
10216-9102,0.7239440934568352,239.5052960645994,0.05201870000000001,15594.8139349646,-101.26562544425737,203.58064827136155,75.25277134954544
10217-12701,0.7014835497761653,231.52079298044453,0.050344400000000004,15092.8714225352,-104.61662141915254,196.7325463094694,62.877224236825484
10217-12702,0.6996392780977162,230.8668265596661,0.050207100000000005,15051.7099180518,-105.60303151353172,196.12252141896505,60.69141564628869
10217-12703,0.232771824622079,73.12024943793529,0.0163,4886.617065399999,-34.91194028855663,60.832213502383496,20.668069662030938
10217-12704,0.2217010041445056,69.56200597387289,0.0155159,4651.5497990822,-33.450315993325724,58.131586541343644,18.457185084461244
10217-12705,0.6603097074428173,216.98030932548963,0.047285600000000004,14175.8662520048,-103.36546972561857,182.6562828750801,55.07010649750097
10217-1901,0.41266460393257437,132.09958614365036,0.0291682,8744.406373435599,-61.92374833023304,111.40007594875286,34.72424413388659
10217-1902,0.7014351977172896,231.50364446404646,0.0503408,15091.7921696864,-107.54935944185667,196.44809532597472,58.61073729768888
10217-3701,0.6914599047718225,227.96949382635754,0.049598500000000004,14869.256228113,-106.03319622297008,193.72811646253132,56.53731781811635
10217-3702,0.7218643832204586,238.76441288732042,0.0518635,15548.286145483,-110.31729314234336,202.9939519742759,60.26603651343323
10217-3703,0.6640930337258507,218.31120224871157,0.0475661,14259.9580364738,-103.33829015284668,184.19781474965978,55.2462112457853
10217-3704,0.8248223823877412,275.82979721724024,0.0595888,17864.2728212704,-127.01011433332268,234.9426949428305,68.9379284787428
10217-6101,1.4482182332652422,518.0573611857902,0.108284,32462.726522072,-233.13117916967974,443.39028639486276,132.0542945474345
10217-6102,0.6665537334130297,219.17738513557345,0.0477486,14314.6701600588,-99.90455577034587,186.30385677838663,57.867770310387314
10217-6103,0.6564776121630332,215.63332641643598,0.047001600000000004,14090.7251939328,-97.42905447239087,183.29131690180964,58.39181410466298
10217-6104,1.4594984325496096,522.7374684962734,0.10919700000000002,32736.437036226,-248.7253248622232,439.5498884838026,134.85573505027787
10217-9101,0.41782065454599554,133.82271320394563,0.029540600000000004,8856.0490847948,-62.50168483938974,113.54248911672461,33.31908051974963
10217-9102,0.22257685224172308,69.84321234349164,0.015577899999999999,4670.1369314782,-32.531594965381814,59.0676928038033,18.18728419258717
10218-12701,0.744763747507418,246.93983691070446,0.053574300000000005,16061.1710826294,-110.57949610113667,209.22090675846403,70.55544111314248
10218-12702,0.4007523881535155,128.12562579665303,0.0283086,8486.7047765388,-56.778932015965296,107.84708884109592,39.513722849297714
10218-12703,0.6441854190031286,211.31984504153377,0.046091400000000005,13817.8540986612,-96.94081508626459,177.5494771833805,61.11250633623814
10218-12704,0.2407286051130171,75.682671009342,0.0168641,5055.7299909578,-35.15199340794117,63.25697126117451,22.153095436514032
10218-12705,0.22684335934618485,71.21378028326387,0.01588,4760.704233039999,-32.746477285931945,60.03024772087881,19.885675401274387
10218-1901,0.31651789667522684,100.3033007598338,0.0222606,6673.559990554799,-44.853521538496864,84.23407089505481,30.879362839284003
10218-1902,0.512365397176644,165.74825266103576,0.0364051,10913.9744127358,-77.18825310329797,138.069208925588,49.51111379993484
10218-3701,0.641685028732628,210.44377467872556,0.0459064,13762.3924939312,-93.11506643670201,178.20428484917852,62.12406590775931
10218-3702,0.9820087607090414,333.970931839809,0.0715511,21450.4801416038,-151.07804079117065,281.9424972108857,96.02310748534158
10218-3703,0.4069653367383454,130.19706313663755,0.028756800000000002,8621.0717562144,-61.86060245836369,107.67169873548515,39.13242139593202
10218-3704,0.40613385123906576,129.91968564060315,0.028696800000000005,8603.0842087344,-60.579758825038994,108.53341565034538,37.811575276925645
10218-6101,1.2827058615589584,450.64228616809936,0.09502200000000001,28486.878944076,-209.20467172815142,377.65721424903427,129.1777997009802
10218-6102,0.40877495295503796,130.8009033822299,0.028887400000000004,8660.2246512292,-60.586931936194766,109.139476575168,39.07268428281707
10218-6103,0.6271357310420977,205.35510388580494,0.04483090000000001,13439.9657053522,-93.42691495849189,171.09103296296743,64.57544961479752
10218-6104,0.6276677771705764,205.54091822249026,0.044870200000000006,13451.7475489516,-96.71323363616278,169.9949631907769,63.20863859590575
10218-9101,0.23846960708244058,74.95474747941455,0.0167039,5007.7032391862,-33.992170984685785,63.240082749718916,21.52761982336627
10218-9102,0.21945027623728897,68.83960474551223,0.0153566,4603.7928605228,-32.71532420690251,57.31450774192349,19.58688198403722
10219-12701,0.23990939154573043,75.41865399452078,0.016806,5038.312049148,-40.25302743145397,57.906896834201284,26.729355622256
10219-12702,0.30819641979508483,97.5810539819923,0.021666,6495.303395028,-52.78709083455338,73.98856787513803,35.51446129743768
10219-12703,1.2535687659269827,439.0140210691824,0.092713,27794.658158554,-233.80940512906466,329.3645004097725,172.0043564516503
10219-12704,0.5720106781484611,186.213811277569,0.040771100000000005,12222.8682843638,-98.69514564645455,141.79858441419182,69.48390601048939
10219-12705,0.24257968749719838,76.27940510881454,0.0169954,5095.0927406932,-41.70705343918294,57.47284906719714,27.855716779055562
10219-1901,0.24072437527288906,75.6813076967176,0.0168638,5055.640053220401,-40.64209656921621,57.73405931786511,27.251765370797234
10219-1902,0.23729618635758212,74.57676733216293,0.0166207,4982.760506680599,-39.98029771318582,56.965689582781046,26.79888488050993
10219-3701,0.2225895655823018,69.84729456045586,0.0155788,4670.4067446904,-37.99607404236068,53.011496392110736,24.99448269222155
10219-3702,0.21666899344625237,67.9473807817236,0.0151598,4544.7937047884,-36.23174142213584,51.92018933640417,24.665794288608858
10219-3703,0.22726694162783442,71.34991760620677,0.01591,4769.69800678,-38.70058490126424,53.95723175555745,26.10924380348071
10219-3704,1.249616722352783,437.44225151390907,0.0924004,27700.9430361832,-239.52351105861771,330.5621040219274,157.2033919618363
10219-6101,0.21033322398642157,65.91681387966689,0.0147117,4410.456704358599,-35.310143975940655,50.46957921487536,23.474276523854957
10219-6102,0.21498542058455333,67.40754774755533,0.0150407,4509.0884230406,-36.21255822234667,51.432280924526495,24.231149358474337
10219-6103,0.37020419061300397,117.97942126898022,0.0261091,7827.311265167799,-62.743422681186345,89.2402345493907,44.928691175942674
10219-6104,0.30809981142296283,97.54947759356185,0.0216591,6493.234827067799,-52.47990520606119,74.07412892078895,35.70411114936197
10219-9101,0.32745947529850933,103.8898363396378,0.0230432,6908.1775681856,-55.708772739430906,79.30988918349452,37.410856876647294
10219-9102,0.31197318626735854,98.8159840833475,0.0219358,6576.187400196399,-53.398526641505846,75.29499566101465,35.26839507667681
10220-12701,0.25953870858590816,81.7571740222914,0.0181995,5456.072839371,-34.68987183105723,59.24917539085157,44.38900215098522
10220-12702,0.5370205915567445,174.17725335718333,0.0382065,11454.020546577,-73.97842446421366,125.64260510331387,95.28296848701659
10220-12703,0.2450237573914481,77.06765201354854,0.017168800000000005,5147.076752910401,-33.076643116083595,54.76506311999495,42.966807287900984
10220-12704,0.6143982234704624,200.91272050775856,0.043890700000000005,13158.1008363406,-89.72096468557122,140.61481088294926,111.99796747294837
10220-12705,0.5223575872690309,169.15913625165734,0.037134600000000004,11132.6730108468,-72.66584442953142,123.11474305601246,90.42813982938021
10220-1901,0.25096925824580973,78.98682959437332,0.0175908,5273.5891701864,-33.87393207782748,56.81229536111703,43.1722025238289
10220-1902,0.6185619680964622,202.36359173285064,0.0441979,13250.1970794382,-92.21463897118203,145.38852030314882,106.3468936193968
10220-3701,0.5443469756358026,176.69028972101378,0.0387427,11614.7692625566,-76.11924435717773,129.5839747121143,92.91562095793248
10220-3702,0.9600501730976493,325.73400360287775,0.0698676,20945.7795385608,-140.1835243786659,238.5890350922595,171.83274696541432
10220-3703,0.5384365765916194,174.66265499745995,0.03831010000000001,11485.0790452258,-74.90505606646626,126.7755233430123,93.93743826370087
10220-3704,1.0012263944076878,341.21066439712325,0.0730278,21893.1836643324,-150.09741903674202,249.4494090233042,177.96200334554345
10220-6101,1.0632891574668284,364.7900692720604,0.0778182,23329.3094551356,-168.17956191473286,262.454542937178,189.486259357559
10220-6102,1.6088275726719898,585.7478587785226,0.121396,36393.605231368,-249.56728755917473,427.5003555616963,313.14560357540313
10220-6103,0.5409864538917077,175.5371164400527,0.0384967,11541.0203178886,-75.2229531132132,127.3162245213737,94.5799426233655
10220-6104,0.5573965690258101,181.1759341742679,0.039698800000000006,11901.4008316504,-80.55665909392827,130.34000510549765,96.67898876509891
10220-9101,0.5116828857421037,165.51553205940954,0.0363553,10899.0447483274,-72.10227315963807,120.82860565343167,87.1613539016568
10220-9102,0.2477954922895886,77.96205938922691,0.0173655,5206.045929399,-35.47912306527219,54.57444420723855,42.90622996954664
10221-12701,0.5846969849094675,190.59953630779552,0.041703300000000006,12502.3348137114,-91.51589746434094,148.58959017633865,76.64305215262905
10221-12702,0.2928150740389627,92.56163494136727,0.0205683,6166.2212138814,-46.812774322143035,70.64489232199007,37.22256858543586
10221-12703,0.22308113528187098,70.00514443110347,0.0156136,4680.8395222288,-35.50892498421266,52.53144049759597,29.669584637010843
10221-12704,0.20339037028007445,63.694744533409555,0.014221,4263.348545217999,-32.855781233032765,48.366747632271334,25.262142510475503
10221-12705,0.19767615520849663,61.8683028030911,0.013817400000000002,4142.3523091692,-31.902544177936868,47.10279524780693,24.315452834626228
